GEN,GAME_SPEED,POINTS,SURVIVAL_THRESHOLD,POPULATION,ACT_FUNC
7,25,531,0.8,150,sigmoid
8,33,1323,0.8,150,sigmoid
40,36,1604,0.5,151,sigmoid
9,32,1205,0.8,150,sigmoid
41,37,1797,0.5,151,sigmoid
10,31,1123,0.8,150,sigmoid
11,30,1017,0.8,150,sigmoid
42,40,2038,0.5,150,sigmoid
12,29,922,0.8,150,sigmoid
43,36,1660,0.5,151,sigmoid
13,36,1636,0.8,150,sigmoid
44,36,1667,0.5,150,sigmoid
14,33,1389,0.8,150,sigmoid
15,33,1357,0.8,150,sigmoid
45,35,1523,0.5,150,sigmoid
16,30,1020,0.8,150,sigmoid
46,36,1627,0.5,149,sigmoid
17,32,1249,0.8,150,sigmoid
47,35,1596,0.5,150,sigmoid
18,30,1009,0.8,150,sigmoid
19,36,1603,0.8,150,sigmoid
48,38,1899,0.5,149,sigmoid
20,32,1205,0.8,150,sigmoid
49,33,1321,0.5,149,sigmoid
50,32,1204,0.5,150,sigmoid
21,37,1700,0.8,150,sigmoid
22,30,1010,0.8,150,sigmoid
23,35,1565,0.8,150,sigmoid
24,33,1396,0.8,150,sigmoid
25,32,1286,0.8,150,sigmoid
1,22,274,0.5,150,relu
2,24,485,0.5,150,relu
3,22,274,0.5,150,relu
26,32,1214,0.8,150,sigmoid
4,33,1326,0.5,150,relu
27,34,1460,0.8,150,sigmoid
5,25,573,0.5,150,relu
28,33,1393,0.8,150,sigmoid
6,32,1206,0.5,150,relu
29,34,1467,0.8,150,sigmoid
7,37,1701,0.5,150,relu
30,32,1282,0.8,150,sigmoid
8,34,1498,0.5,150,relu
31,26,665,0.8,150,sigmoid
32,26,664,0.8,149,sigmoid
9,40,2052,0.5,150,relu
33,38,1840,0.8,150,sigmoid
10,34,1463,0.5,150,relu
34,35,1500,0.8,150,sigmoid
11,33,1323,0.5,150,relu
35,32,1211,0.8,149,sigmoid
12,30,1015,0.5,150,relu
36,33,1310,0.8,149,sigmoid
13,34,1426,0.5,150,relu
37,34,1496,0.8,150,sigmoid
14,35,1562,0.5,150,relu
38,34,1431,0.8,150,sigmoid
15,34,1466,0.5,150,relu
39,37,1796,0.8,150,sigmoid
16,37,1711,0.5,150,relu
40,33,1318,0.8,151,sigmoid
17,34,1461,0.5,150,relu
41,38,1835,0.8,151,sigmoid
18,36,1639,0.5,149,relu
42,34,1464,0.8,151,sigmoid
19,37,1702,0.5,149,relu
43,36,1665,0.8,150,sigmoid
20,34,1424,0.5,149,relu
44,37,1760,0.8,151,sigmoid
21,34,1419,0.5,150,relu
45,37,1736,0.8,149,sigmoid
22,37,1702,0.5,150,relu
46,37,1705,0.8,150,sigmoid
23,38,1867,0.5,149,relu
47,36,1671,0.8,150,sigmoid
24,35,1528,0.5,149,relu
48,33,1359,0.8,149,sigmoid
25,36,1625,0.5,149,relu
49,36,1641,0.8,149,sigmoid
26,37,1733,0.5,149,relu
50,35,1537,0.8,149,sigmoid
27,39,1928,0.5,150,relu
28,41,2162,0.5,150,relu
29,37,1725,0.5,150,relu
30,36,1677,0.5,150,relu
1,23,329,0.8,150,relu
2,28,842,0.8,150,relu
31,38,1839,0.5,150,relu
3,25,580,0.8,150,relu
4,22,277,0.8,150,relu
5,24,435,0.8,150,relu
6,26,620,0.8,150,relu
32,39,1950,0.5,149,relu
7,28,847,0.8,150,relu
8,32,1282,0.8,150,relu
33,39,1981,0.5,150,relu
9,33,1390,0.8,150,relu
34,34,1499,0.5,150,relu
10,26,668,0.8,150,relu
35,36,1605,0.5,150,relu
11,35,1594,0.8,150,relu
36,32,1246,0.5,150,relu
12,35,1523,0.8,150,relu
37,34,1423,0.5,150,relu
13,31,1171,0.8,150,relu
38,36,1670,0.5,150,relu
14,32,1242,0.8,150,relu
15,30,1010,0.8,150,relu
39,38,1868,0.5,150,relu
16,33,1395,0.8,150,relu
17,27,759,0.8,151,relu
40,35,1567,0.5,150,relu
18,32,1205,0.8,150,relu
41,35,1530,0.5,151,relu
19,33,1395,0.8,149,relu
20,27,765,0.8,150,relu
42,39,1953,0.5,150,relu
21,35,1568,0.8,150,relu
43,35,1572,0.5,149,relu
22,34,1492,0.8,149,relu
44,34,1454,0.5,150,relu
23,34,1423,0.8,149,relu
45,35,1503,0.5,149,relu
24,34,1466,0.8,149,relu
46,39,1982,0.5,151,relu
25,41,2165,0.8,149,relu
47,36,1645,0.5,149,relu
26,36,1664,0.8,150,relu
48,37,1711,0.5,150,relu
49,37,1701,0.5,149,relu
27,43,2387,0.8,150,relu
50,36,1675,0.5,150,relu
28,43,2342,0.8,149,relu
29,40,2047,0.8,150,relu
30,35,1536,0.8,150,relu
31,43,2370,0.8,149,relu
32,43,2309,0.8,151,relu
33,45,2537,0.8,151,relu
34,38,1866,0.8,151,relu
35,44,2425,0.8,151,relu
36,45,2560,0.8,151,relu
37,39,1958,0.8,151,relu
38,45,2536,0.8,151,relu
39,41,2171,0.8,151,relu
40,36,1641,0.8,151,relu
41,35,1597,0.8,151,relu
42,37,1765,0.8,149,relu
43,36,1677,0.8,149,relu
44,35,1563,0.8,149,relu
45,36,1602,0.8,150,relu
46,34,1419,0.8,150,relu
47,38,1827,0.8,149,relu
48,36,1671,0.8,150,relu
49,35,1562,0.8,149,relu
50,36,1634,0.8,150,relu
1,22,223,0.6,150,relu
2,21,166,0.6,150,relu
3,22,273,0.6,150,relu
4,21,115,0.6,150,relu
5,21,164,0.6,150,relu
6,21,109,0.6,150,relu
1,22,218,0.6,150,tanh
7,22,274,0.6,150,relu
2,23,379,0.6,150,tanh
8,21,115,0.6,150,relu
3,26,673,0.6,150,tanh
9,26,622,0.6,150,relu
4,24,429,0.6,150,tanh
10,24,484,0.6,150,relu
11,26,669,0.6,150,relu
5,32,1239,0.6,150,tanh
6,22,219,0.6,150,tanh
12,28,802,0.6,150,relu
13,25,524,0.6,150,relu
7,26,623,0.6,150,tanh
